epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,476.343,0.83833,2.23703,1.21393,0.65389,0.63506,0.6879,0.53264,0.86637,2.15766,1.27092,0.000410354,0.000410354,0.000410354
2,950.978,0.91487,1.50935,1.23892,0.56188,0.61856,0.59945,0.40016,1.04842,2.85329,1.58504,0.000786083,0.000786083,0.000786083
3,1389.48,0.95086,1.42664,1.25634,0.72267,0.69911,0.78742,0.54402,1.01786,2.16761,1.57143,0.00112056,0.00112056,0.00112056
4,1827.09,0.95754,1.33092,1.26322,0.77027,0.68325,0.75651,0.54431,0.94859,1.88695,1.35676,0.00106437,0.00106437,0.00106437
5,2300.12,0.92524,1.24765,1.24329,0.79751,0.78518,0.84044,0.58679,1.1282,1.44842,1.62006,0.0010025,0.0010025,0.0010025
6,2791.72,0.89179,1.14335,1.21462,0.84384,0.64388,0.79748,0.57925,0.93457,1.79769,1.35548,0.000940625,0.000940625,0.000940625
7,3328.8,0.87153,1.06157,1.20675,0.86471,0.67091,0.82394,0.59266,1.06284,2.00238,1.51711,0.00087875,0.00087875,0.00087875
8,3851.35,0.87242,1.04674,1.20985,0.86655,0.8603,0.90373,0.67178,1.05854,0.99257,1.49835,0.000816875,0.000816875,0.000816875
9,4316.68,0.81351,0.96154,1.177,0.75908,0.77514,0.83452,0.64362,0.85485,1.27695,1.24794,0.000755,0.000755,0.000755
10,4774.23,0.8216,0.9169,1.17516,0.84842,0.80491,0.86487,0.67214,1.05842,1.08696,1.48872,0.000693125,0.000693125,0.000693125
11,5257.47,0.76459,0.94341,1.14952,0.88036,0.86845,0.91826,0.69493,0.94058,0.96331,1.36946,0.00063125,0.00063125,0.00063125
12,5678.44,0.70931,0.81832,1.11621,0.91706,0.8274,0.91722,0.69823,1.05325,0.89018,1.40495,0.000569375,0.000569375,0.000569375
13,6080.89,0.68474,0.73999,1.09639,0.90274,0.85901,0.91916,0.71969,0.8969,0.9079,1.29261,0.0005075,0.0005075,0.0005075
14,6486.58,0.67059,0.7037,1.0994,0.92366,0.86722,0.93861,0.74599,0.82571,0.89277,1.18749,0.000445625,0.000445625,0.000445625
15,7000.94,0.63392,0.63487,1.05775,0.89541,0.86467,0.9301,0.74993,0.85813,0.80955,1.31026,0.00038375,0.00038375,0.00038375
16,7515.15,0.61173,0.613,1.04206,0.929,0.86972,0.94726,0.76315,0.95268,0.67484,1.43655,0.000321875,0.000321875,0.000321875
17,8037.15,0.60028,0.57273,1.03315,0.92752,0.85936,0.93423,0.75866,0.73011,0.70866,1.18512,0.00026,0.00026,0.00026
18,8558.31,0.5805,0.55639,1.01889,0.93617,0.85805,0.9442,0.77612,0.77135,0.68208,1.17869,0.000198125,0.000198125,0.000198125
19,9325.46,0.55098,0.51651,1.00013,0.93417,0.88369,0.9433,0.7755,0.84909,0.6516,1.28853,0.00013625,0.00013625,0.00013625
20,9748.16,0.52485,0.48289,0.97413,0.91596,0.89491,0.94815,0.7795,0.89438,0.61246,1.36602,7.4375e-05,7.4375e-05,7.4375e-05
