epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.32321,2.5899,4.7131,2.17888,0,0,0,0,2.4992,4.9624,2.09144,6e-05,6e-05,6e-05
2,8.1593,2.4558,4.40209,2.0045,0,0,0,0,2.22651,4.82169,1.73438,0.000127426,0.000127426,0.000127426
3,10.8514,2.23131,3.94798,1.66869,0,0,0,0,2.02668,4.52767,1.45448,0.00019208,0.00019208,0.00019208
4,13.4892,2.1243,3.64575,1.57257,0,0,0,0,2.0094,4.32729,1.38129,0.000253962,0.000253962,0.000253962
5,16.0651,2.00065,3.28447,1.50383,0.00209,0.1,0.01043,0.00365,1.94609,3.98088,1.30585,0.000313072,0.000313072,0.000313072
6,18.6964,1.89911,2.94133,1.41379,0.00494,0.48194,0.08854,0.05779,1.92238,3.56943,1.21873,0.00036941,0.00036941,0.00036941
7,21.3377,1.8262,2.81253,1.36797,0.01456,0.80278,0.16768,0.08107,1.90532,3.20112,1.23327,0.000422976,0.000422976,0.000422976
8,23.9555,1.81275,2.65686,1.37422,0.01092,0.75278,0.16311,0.07434,2.12573,3.07794,1.38593,0.00047377,0.00047377,0.00047377
9,26.4544,1.75436,2.55138,1.34268,0.00931,0.81389,0.19109,0.10069,1.88795,2.92305,1.28537,0.000521792,0.000521792,0.000521792
10,29.1216,1.7988,2.49463,1.36841,0.00906,0.94167,0.3075,0.15484,1.82372,2.831,1.22458,0.000567042,0.000567042,0.000567042
11,31.6456,1.69535,2.50676,1.33971,0.17401,0.55554,0.28237,0.12787,1.87664,2.84951,1.28448,0.00060952,0.00060952,0.00060952
12,34.2043,1.72584,2.48794,1.29066,0.52651,0.1176,0.31354,0.13572,1.88012,2.61318,1.28481,0.000649226,0.000649226,0.000649226
13,36.7802,1.73651,2.39714,1.2858,0.38573,0.12384,0.33681,0.15452,1.87341,2.57625,1.28328,0.00068616,0.00068616,0.00068616
14,39.3134,1.64714,2.39538,1.26016,0.24944,0.26528,0.36149,0.15587,1.93306,2.44407,1.30187,0.000720322,0.000720322,0.000720322
15,41.708,1.66222,2.29233,1.22877,0.26695,0.37091,0.36945,0.16277,2.00444,2.35126,1.3355,0.0007228,0.0007228,0.0007228
16,44.2055,1.67533,2.22497,1.25497,0.25486,0.4363,0.34174,0.1674,1.83564,2.25757,1.25469,0.000703,0.000703,0.000703
17,46.5228,1.71062,2.39009,1.25837,0.28225,0.48574,0.35042,0.17418,1.79964,2.2614,1.2467,0.0006832,0.0006832,0.0006832
18,48.9905,1.62895,2.27887,1.22768,0.27661,0.30711,0.3737,0.17084,1.97286,2.3122,1.30099,0.0006634,0.0006634,0.0006634
19,51.4815,1.56665,2.2515,1.22412,0.24977,0.51542,0.4003,0.19206,1.90493,2.01764,1.29763,0.0006436,0.0006436,0.0006436
20,53.9432,1.57836,2.20612,1.24899,0.36935,0.312,0.37643,0.19066,1.93867,2.02761,1.31617,0.0006238,0.0006238,0.0006238
21,56.3375,1.58508,2.16205,1.24207,0.19918,0.39028,0.33035,0.16851,1.91999,2.14649,1.281,0.000604,0.000604,0.000604
22,58.7666,1.5991,2.1448,1.21493,0.27358,0.34548,0.35523,0.18552,1.83377,2.03944,1.22953,0.0005842,0.0005842,0.0005842
23,61.343,1.57721,2.04469,1.15714,0.53109,0.28199,0.43688,0.2305,1.78421,1.94615,1.22509,0.0005644,0.0005644,0.0005644
24,63.8889,1.56844,2.06491,1.19849,0.5062,0.3182,0.45546,0.22407,1.77894,1.98678,1.24267,0.0005446,0.0005446,0.0005446
25,66.4342,1.60005,2.06597,1.22598,0.37106,0.47118,0.45865,0.23158,1.82205,2.00258,1.27612,0.0005248,0.0005248,0.0005248
26,68.8455,1.55212,2.03316,1.22576,0.49509,0.39497,0.49874,0.25091,1.85175,1.98559,1.27448,0.000505,0.000505,0.000505
27,71.3037,1.53076,1.92841,1.20055,0.49299,0.66206,0.57201,0.28225,1.85489,1.82712,1.25631,0.0004852,0.0004852,0.0004852
28,73.7156,1.54683,1.96456,1.1943,0.45242,0.65155,0.58821,0.29096,1.83233,1.76833,1.25596,0.0004654,0.0004654,0.0004654
29,76.1181,1.54805,1.94996,1.20484,0.49087,0.49792,0.57772,0.28635,1.848,1.84191,1.26031,0.0004456,0.0004456,0.0004456
30,78.5311,1.5021,1.89735,1.19993,0.59937,0.55857,0.58603,0.28035,1.84488,1.96054,1.2725,0.0004258,0.0004258,0.0004258
31,80.9518,1.55365,1.93513,1.18342,0.5092,0.57593,0.65413,0.32459,1.84004,1.84079,1.27028,0.000406,0.000406,0.000406
32,83.3097,1.45134,1.91267,1.18646,0.44945,0.5625,0.5678,0.28577,1.84164,1.75824,1.25589,0.0003862,0.0003862,0.0003862
33,85.637,1.47301,1.8877,1.1756,0.43132,0.61019,0.53729,0.28652,1.82955,1.69801,1.25914,0.0003664,0.0003664,0.0003664
34,88.0219,1.47495,1.81573,1.18964,0.37562,0.6728,0.52936,0.28363,1.82187,1.68441,1.2541,0.0003466,0.0003466,0.0003466
35,90.3789,1.4914,1.84813,1.18999,0.46981,0.64127,0.5382,0.27203,1.85405,1.72054,1.27432,0.0003268,0.0003268,0.0003268
36,92.7923,1.52242,1.838,1.19944,0.43626,0.64025,0.5382,0.27721,1.86535,1.7259,1.28035,0.000307,0.000307,0.000307
37,95.1295,1.44667,1.82447,1.16215,0.38113,0.70833,0.58882,0.30092,1.83497,1.62871,1.26607,0.0002872,0.0002872,0.0002872
38,97.6715,1.43471,1.72351,1.1245,0.52309,0.63227,0.62691,0.31799,1.80482,1.55237,1.25542,0.0002674,0.0002674,0.0002674
39,100.145,1.45582,1.74318,1.16259,0.47914,0.5729,0.63197,0.31721,1.83058,1.59653,1.25523,0.0002476,0.0002476,0.0002476
40,102.558,1.42974,1.68418,1.14659,0.4563,0.65249,0.62247,0.30733,1.84453,1.63127,1.26244,0.0002278,0.0002278,0.0002278
41,120.154,1.43247,1.95436,1.16767,0.49227,0.65,0.61977,0.31549,1.84033,1.68165,1.2644,0.000208,0.000208,0.000208
42,122.641,1.37566,1.80493,1.15514,0.50059,0.58058,0.61068,0.30276,1.84904,1.79147,1.26737,0.0001882,0.0001882,0.0001882
43,125.051,1.37137,1.81037,1.16398,0.47671,0.57041,0.61514,0.31952,1.85402,1.73716,1.27594,0.0001684,0.0001684,0.0001684
44,127.429,1.34632,1.76385,1.13821,0.38323,0.70789,0.60073,0.31449,1.85717,1.62388,1.27926,0.0001486,0.0001486,0.0001486
